@relation 'epit.train-weka.filters.unsupervised.attribute.Remove-R13,56-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.241ProtFP2.1+0.239KF2.1+0.233T1.1+0.233ST1.1+0.232VHSE3.1... numeric
@attribute -0.294Z1.1+0.258VHSE1.1+0.241MSWHIM2.1-0.236BLOSUM1.1+0.234ProtFP1.1... numeric
@attribute 0.287ProtFP3.1+0.274VHSE4.1+0.239BLOSUM7.1-0.239T3.1+0.236Z4.1... numeric
@attribute 0.292ProtFP6.1-0.248VHSE8.1+0.236BLOSUM6.1-0.232Z3.1-0.231F5.1... numeric
@attribute 0.331ProtFP4.1-0.282KF8.1-0.238BLOSUM8.1-0.231ST3.1-0.227MSWHIM1.1... numeric
@attribute -0.378ProtFP5.1-0.287KF3.1-0.235BLOSUM4.1-0.212KF1.1+0.205Z5.1... numeric
@attribute '-0.453ProtFP7.1+0.314KF6.1+0.29 BLOSUM10.1+0.264BLOSUM9.1+0.257ST7.1...' numeric
@attribute 0.455ProtFP8.1-0.394BLOSUM10.1+0.329BLOSUM9.1+0.317KF10.1-0.274KF6.1... numeric
@attribute -0.466KF10.1+0.319ProtFP8.1+0.304BLOSUM9.1-0.252ST7.1+0.235MSWHIM2.1... numeric
@attribute '0.373Z5.1-0.317ST4.1-0.264KF7.1-0.264ProtFP8.1+0.26 BLOSUM4.1...' numeric
@attribute -0.348BLOSUM10.1-0.28BLOSUM9.1-0.241ProtFP7.1+0.239T4.1+0.236KF5.1... numeric
@attribute -0.613KF5.1+0.315F1.1-0.273KF10.1+0.265KF7.1-0.211BLOSUM9.1... numeric
@attribute Class {Negative,Positive}

@data
-2.250403,7.333278,-0.137138,-4.558347,0.504671,0.905433,-1.398756,-0.139667,-1.879216,2.185862,-0.028087,0.200044,Negative
2.231731,-1.785461,4.556387,3.902491,-0.512573,-3.106714,-0.553181,-0.172216,-1.164648,-0.138549,-0.162038,-0.182843,Negative
3.458081,-0.725836,0.619067,2.410788,3.536593,2.106553,-0.176815,0.301654,-1.593038,-0.375778,-1.963694,0.575167,Positive
-4.294315,2.366326,-1.855449,2.530035,0.663497,1.273894,0.158661,-0.204126,-0.382061,0.68918,-1.204761,0.167659,Negative
-18.950976,-5.942295,10.090449,1.328121,-5.911258,-0.046567,-2.586958,-1.477352,1.044131,-0.436354,-0.256483,-0.155515,Positive
-0.523506,-5.354119,-2.920997,-3.373496,3.848625,-2.669153,-0.003525,-0.268418,0.591855,0.475655,2.313757,-0.098154,Positive
0.346723,8.157441,3.88241,-7.826978,1.190428,1.717937,1.042996,-1.554602,0.03076,0.098928,-0.042918,-0.908925,Positive
-1.753413,-3.412444,1.617082,1.228008,2.805153,3.318707,0.922708,2.045167,0.127162,0.752637,-0.115836,0.229396,Positive
-4.983532,-1.567927,-0.291638,0.471699,2.858098,0.818762,1.710017,-0.362765,0.350355,2.050888,-0.813416,-1.155366,Negative
-2.542498,6.729016,3.704131,-6.923365,4.430712,0.612646,-2.463375,2.050281,-0.139521,-1.052838,-0.886816,-0.672108,Positive
-3.059426,4.211338,2.228495,-7.355497,-0.038635,0.818896,-1.156584,-0.241686,-1.46603,1.518587,-0.422906,0.337509,Negative
1.680897,0.470122,-0.874477,-4.789505,-2.310359,-5.351888,1.142802,1.168623,0.175759,2.280907,-2.438334,1.078602,Positive
3.679187,6.111182,-1.909886,0.262004,-1.34931,-2.141549,1.825439,-0.035642,-0.390302,-1.013408,-0.376792,0.53624,Negative
-7.357454,-0.738652,-0.240584,4.187572,-1.992083,-0.115559,-1.406159,-2.259295,-0.388963,-0.574376,0.564511,-0.779865,Negative
6.226266,-3.030757,3.359277,0.653668,-0.904047,-3.414687,-0.125035,-0.070491,-1.466107,1.207251,-0.562899,-2.725792,Negative
-3.777208,0.021122,7.504152,-5.183518,4.059847,-1.479459,-1.887769,1.703402,-1.724485,0.68524,-0.671548,0.77521,Positive
2.911892,0.713364,1.236985,1.177685,-3.579926,-3.379195,3.761502,1.043735,-1.496968,-0.936648,1.381536,-0.941811,Positive
-3.32666,-1.038949,-3.811758,0.671134,0.720986,-1.021971,1.891089,-1.562896,-0.95526,-0.458713,-0.459199,-0.265278,Negative
-4.231776,-0.180074,-2.209425,3.253869,4.558925,-0.413038,0.401252,1.504835,0.486745,-0.626672,-0.584383,0.752721,Positive
-13.712691,1.288029,7.846235,-2.301433,-3.850869,1.918661,-1.556401,-0.170482,0.303739,0.015295,-0.663736,-0.211962,Negative
4.027126,-1.75872,-0.701669,-1.250983,0.774025,-1.726896,-1.669635,-2.919047,-1.387367,0.361855,-0.589583,-0.188344,Negative
-2.465873,-1.972043,2.941643,2.237901,-5.293687,-3.701434,-0.213201,-0.966414,1.20171,-0.306478,-1.989532,-0.165584,Negative
1.872945,-2.830232,-3.200059,-1.107783,1.052235,-0.59035,-0.117366,2.741481,0.106809,-1.142109,-1.068362,-1.014605,Negative
1.327095,-2.190637,1.577449,-0.665578,-3.354088,1.31493,-1.618813,0.474695,-0.132803,0.584999,1.29666,0.812342,Negative
1.101828,2.749221,-0.81193,-0.086664,-2.266395,-2.018208,0.456561,0.205135,0.694768,1.245786,-1.512896,0.163776,Negative
2.693397,-1.430724,1.289382,2.90608,-2.238,0.031067,-0.2803,-0.517951,-0.618439,-1.388047,-0.282285,-1.152389,Positive
3.548653,-1.814685,-0.971455,-1.335935,1.501876,1.888042,-3.091577,-0.908718,-0.610828,0.262202,1.70506,0.532346,Negative
0.569086,-1.211032,0.976465,-2.438178,3.254715,1.004033,1.241998,-0.342467,0.327773,-0.157732,0.757101,-0.485036,Negative
